Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
12/26/2024 9:39:46,Yes,Red Advanced,Farewell,3%,300-500,,,,,
1/1/2025 18:55:56,Yes,Yellow Grandmaster,,5%,1500-2000,,,,,
1/3/2025 12:29:26,Yes,Red Intermediate,Farewell,3%,150-200,,,,,
1/11/2025 15:41:50,Yes,Green Expert,,65%,300-500,,,,,
1/11/2025 21:23:35,Yes,Red Advanced,,3%,200-300,,,,,
1/12/2025 16:47:59,No,,C-Sides 6-7,15%,60-75,,,,,
1/16/2025 20:15:11,Yes,Green Advanced,,3%,100-150,,,,,
1/16/2025 20:26:57,Yes,Red Grandmaster,,3%,750-1000,,,,,
1/16/2025 20:29:34,Yes,Red Advanced,,7.50%,200-300,,,,,
1/16/2025 20:32:25,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/16/2025 20:44:20,Yes,Yellow Grandmaster,,15%,500-750,,,,,
1/16/2025 20:47:54,Yes,Green Advanced,Farewell,25%,150-200,,,,,
1/16/2025 21:08:46,Yes,Yellow Grandmaster,,0.50%,300-500,,,,,
1/16/2025 21:17:49,Yes,Yellow Grandmaster,,0.50%,750-1000,,,,,
1/16/2025 21:50:18,Yes,Grandmaster+,,15%,300-500,,,,,
1/16/2025 22:11:43,Yes,Yellow Grandmaster,,3%,1000-1500,,,,,
1/16/2025 22:19:32,Yes,Red Beginner,C-Sides 3-5,25%,20-30,,,,,
1/16/2025 22:28:40,Yes,Grandmaster+,,0.50%,300-500,,,,,
1/16/2025 22:34:31,Yes,Yellow Advanced,,7.50%,100-150,,,,,
1/16/2025 22:35:21,Yes,Yellow Grandmaster,,3%,200-300,,,,,
1/16/2025 22:40:08,No,,Farewell,7.50%,150-200,,,,,
1/16/2025 22:43:08,Yes,Grandmaster+,,0.50%,300-500,,,,,
1/16/2025 22:50:38,Yes,Green Grandmaster,,0.50%,300-500,,,,,
1/17/2025 0:04:10,Yes,Red Grandmaster,,3%,1500-2000,,,,,
1/17/2025 0:10:45,No,,Farewell,65%,30-40,,,,,
1/17/2025 0:18:30,Yes,Green Grandmaster,,0.50%,2000+,,,,,
1/17/2025 0:56:00,No,Red Intermediate,Farewell,15%,75-100,,,,,
1/17/2025 1:11:18,Yes,Red Advanced,,3%,100-150,,,,,
1/17/2025 1:43:27,No,,Farewell,55%,20-30,,,,,
1/17/2025 1:43:56,Yes,Green Grandmaster,,0.50%,150-200,,,,,
1/17/2025 1:52:22,Yes,Green Expert,,0.50%,150-200,,,,,
1/17/2025 2:01:44,Yes,Green Grandmaster,,3%,300-500,,,,,
1/17/2025 2:05:13,Yes,Yellow Grandmaster,,7.50%,300-500,,,,,
1/17/2025 2:08:07,Yes,Green Grandmaster,,7.50%,100-150,,,,,
1/17/2025 2:13:34,Yes,Red Grandmaster,,0.50%,300-500,,,,,
1/17/2025 2:30:51,Yes,Red Advanced,,3%,100-150,,,,,
1/17/2025 2:35:11,No,,Farewell,7.50%,75-100,,,,,
1/17/2025 2:35:31,Yes,Yellow Expert,,7.50%,200-300,,,,,
1/17/2025 2:36:47,Yes,Red Advanced,Farewell,3%,100-150,,,,,
1/17/2025 2:55:46,Yes,Red Expert,,3%,300-500,,,,,
1/17/2025 3:17:08,Yes,Green Intermediate,B-Sides 3-5,55%,60-75,,,,,
1/17/2025 3:20:13,Yes,Yellow Advanced,Farewell,7.50%,100-150,,,,,
1/17/2025 3:28:34,Yes,Red Intermediate,,45%,50-60,,,,,
1/17/2025 3:28:48,Yes,Yellow Expert,,3%,300-500,,,,,
1/17/2025 3:43:02,Yes,Red Intermediate,B-Sides 3-5,15%,200-300,,,,,
1/17/2025 3:57:16,No,,Farewell,15%,75-100,,,,,
1/17/2025 3:58:22,No,,C-Sides 1-2,7.50%,40-50,,,,,
1/17/2025 5:18:20,Yes,Yellow Grandmaster,,75%,750-1000,,,,,
1/17/2025 6:00:50,Yes,Red Expert,,65%,200-300,,,,,
1/17/2025 6:00:54,Yes,Grandmaster+,,3%,300-500,,,,,
1/17/2025 6:32:25,Yes,Yellow Grandmaster,Farewell,15%,200-300,,,,,
1/17/2025 6:43:17,Yes,Red Advanced,,3%,100-150,,,,,
1/17/2025 6:44:31,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/17/2025 6:45:32,Yes,Red Intermediate,,45%,100-150,,,,,
1/17/2025 7:14:15,Yes,Red Intermediate,,7.50%,100-150,,,,,
1/17/2025 7:54:58,No,,B-Sides 6-7,75%,75-100,,,,,
1/17/2025 9:36:40,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/17/2025 9:39:25,Yes,Yellow Grandmaster,,3%,200-300,,,,,
1/17/2025 11:35:47,Yes,Grandmaster+,,0.50%,500-750,,,,,
1/17/2025 11:37:08,Yes,Red Expert,,15%,200-300,,,,,
1/17/2025 12:14:06,Yes,Yellow Expert,,7.50%,500-750,,,,,
1/17/2025 12:52:39,Yes,Green Expert,,3%,200-300,,,,,
1/17/2025 13:40:13,Yes,Green Expert,,95%,100-150,,,,,
1/17/2025 13:44:09,No,,Farewell,7.50%,150-200,,,,,
1/17/2025 14:10:18,Yes,Yellow Intermediate,Farewell,3%,300-500,,,,,
1/17/2025 14:58:58,No,,C-Sides 1-2,35%,30-40,,,,,
1/17/2025 15:10:11,Yes,Yellow Expert,,85%,200-300,,,,,
1/17/2025 16:17:19,Yes,Red Intermediate,Farewell,7.50%,150-200,,,,,
1/17/2025 17:00:56,Yes,Yellow Grandmaster,,0.50%,300-500,,,,,
1/17/2025 17:50:14,Yes,Green Advanced,,15%,150-200,,,,,
1/17/2025 18:47:37,No,,Farewell,25%,40-50,,,,,
1/17/2025 19:58:46,Yes,Red Expert,,3%,500-750,,,,,
1/17/2025 21:08:33,Yes,Red Grandmaster,,15%,750-1000,,,,,
1/17/2025 21:21:46,Yes,Red Advanced,,3%,150-200,,,,,
1/17/2025 21:32:18,Yes,Green Intermediate,,15%,100-150,,,,,
1/17/2025 22:01:50,Yes,Yellow Expert,,3%,150-200,,,,,
1/18/2025 2:49:45,Yes,Red Grandmaster,,0.50%,300-500,,,,,
1/18/2025 4:16:33,No,,Farewell,7.50%,500-750,,,,,
1/18/2025 10:12:26,Yes,Red Advanced,,35%,500-750,,,,,
1/18/2025 10:29:50,No,,B-Sides 1-2,35%,20-30,,,,,
1/18/2025 11:05:40,Yes,Grandmaster+,Chapters 4-5,0.50%,2000+,,,,,
1/18/2025 11:45:55,No,,Farewell,3%,100-150,,,,,
1/18/2025 11:51:12,Yes,Red Grandmaster,,3%,1000-1500,,,,,
1/18/2025 16:42:35,Yes,Green Grandmaster,,15%,300-500,,,,,
1/18/2025 21:20:53,Yes,Grandmaster+,,0.50%,2000+,,,,,
1/19/2025 0:23:10,Yes,Yellow Grandmaster,,3%,200-300,,,,,
1/19/2025 1:46:38,Yes,Red Advanced,,55%,60-75,,,,,
1/19/2025 11:04:21,Yes,Green Expert,,0.50%,300-500,,,,,
1/19/2025 13:50:54,Yes,Red Advanced,,7.50%,300-500,,,,,
1/22/2025 23:04:31,Yes,Red Advanced,,0.50%,500-750,,,,,
1/24/2025 16:48:18,Yes,Red Expert,,15%,300-500,,,,,
1/25/2025 21:14:56,Yes,Yellow Expert,,3%,100-150,,,,,
1/28/2025 11:23:31,Yes,Red Grandmaster,,0.50%,750-1000,,,,,
1/28/2025 21:16:49,Yes,Red Advanced,,3%,200-300,,,,,
1/31/2025 8:56:31,Yes,Green Grandmaster,,0.50%,300-500,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,"
",,,,,,,,
