Timestamp,"Do you play modded Celeste maps? (Strawberry Jam, spring collab, ect)",If so what is the level of your best completed map?,If you do not play modded maps what in game levels are you currently playing?,What percentage of Celeste players do you think you are in? (1% meaning you're better than 99% of players and 99% meaning you're better than 1% of players) Also keep in mind that only 8% of players have completed farewell according to steam.,How many hours do you have in Celeste?,,,,,
1/29/2024 2:44:33,No,,Farewell,3%,60-75,,,,,
1/29/2024 2:53:45,No,,Farewell,7.50%,60-75,,,,,
1/29/2024 2:56:16,No,,,45%,5-10,,,,,
1/29/2024 2:56:41,No,,Core,65%,20-30,,,,,
1/29/2024 2:57:51,Yes,Yellow Advanced,,3%,75-100,,,,,
1/29/2024 2:59:08,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 2:59:39,Yes,Yellow Grandmaster,,0.50%,300-500,,,,,
1/29/2024 3:00:07,Yes,Red Intermediate,,7.50%,100-150,,,,,
1/29/2024 3:03:02,No,,B-Sides 3-5,25%,75-100,,,,,
1/29/2024 3:04:34,No,,Farewell,7.50%,150-200,,,,,
1/29/2024 3:04:45,Yes,Grandmaster+,,0.50%,1000-1500,,,,,
1/29/2024 3:07:27,Yes,Yellow Expert,,15%,150-200,,,,,
1/29/2024 3:08:43,Yes,Red Expert,,0.50%,750-1000,,,,,
1/29/2024 3:11:35,Yes,Yellow Advanced,,95%,100-150,,,,,
1/29/2024 3:12:35,No,,Chapters 6-7,95%,10-20,,,,,
1/29/2024 3:13:11,Yes,Yellow Advanced,,0.50%,300-500,,,,,
1/29/2024 3:13:35,No,,Farewell,55%,100-150,,,,,
1/29/2024 3:16:07,Yes,Green Expert,,3%,100-150,,,,,
1/29/2024 3:17:04,Yes,Grandmaster+,,0.50%,300-500,,,,,
1/29/2024 3:17:09,No,,Chapters 4-5,3%,75-100,,,,,
1/29/2024 3:17:35,Yes,Green Expert,Farewell,7.50%,100-150,,,,,
1/29/2024 3:18:40,Yes,Red Expert,,7.50%,500-750,,,,,
1/29/2024 3:19:50,Yes,Green Grandmaster,,35%,1500-2000,,,,,
1/29/2024 3:20:13,Yes,Red Advanced,,0.50%,150-200,,,,,
1/29/2024 3:20:18,No,,Farewell,55%,150-200,,,,,
1/29/2024 3:23:48,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 3:23:50,Yes,Red Intermediate,,7.50%,200-300,,,,,
1/29/2024 3:24:31,No,,Farewell,7.50%,75-100,,,,,
1/29/2024 3:25:53,Yes,Yellow Expert,,3%,200-300,,,,,
1/29/2024 3:26:03,No,,Farewell,7.50%,300-500,,,,,
1/29/2024 3:26:26,Yes,Green Advanced,,7.50%,60-75,,,,,
1/29/2024 3:27:29,Yes,Green Expert,,7.50%,200-300,,,,,
1/29/2024 3:28:50,Yes,Red Expert,,3%,300-500,,,,,
1/29/2024 3:28:52,No,,Farewell,7.50%,300-500,,,,,
1/29/2024 3:30:46,Yes,Grandmaster+,,3%,1500-2000,,,,,
1/29/2024 3:31:24,Yes,Red Intermediate,,3%,200-300,,,,,
1/29/2024 3:31:46,Yes,Red Intermediate,Farewell,35%,200-300,,,,,
1/29/2024 3:33:36,Yes,Grandmaster+,,0.50%,1500-2000,,,,,
1/29/2024 3:40:04,Yes,Red Intermediate,,15%,200-300,,,,,
1/29/2024 3:40:37,No,,Farewell,3%,150-200,,,,,
